name,t90,t50
GRB101225A,1088.0000,0.0000
GRB060218,1040.0000,255.0000
GRB111209A,828.6000,252.3900
GRB121217A,778.4000,443.1200
GRB060124,658.2000,64.0000
GRB111016A,547.4800,108.7600
GRB060605,539.1200,21.4400
GRB100316D,518.6600,314.9400
GRB100606A,480.0000,64.0000
GRB100802A,472.6000,367.1600
GRB090419,460.6700,309.3300
GRB070129,459.0500,272.5400
GRB100901A,436.4400,192.3100
GRB071129,430.1300,173.3200
GRB070616,406.8200,203.8400
GRB100625A,385.5400,184.5800
GRB110801A,385.2700,329.4800
GRB070704,377.5800,64.7400
GRB111215A,374.2700,157.9000
GRB070612A,365.2800,189.1400
GRB090929B,361.6000,230.7100
GRB100902A,356.4200,74.4700
GRB080310,352.3700,250.4000
GRB121209A,339.1400,118.7900
GRB070721B,336.8600,251.0100
GRB090509,336.3800,239.5400
GRB070107,333.7600,38.6700
GRB121123A,324.5000,62.0200
GRB081017,320.0000,320.0000
GRB090407,315.4400,183.4100
GRB090727,301.8700,244.8600
GRB080207,290.0000,105.0000
GRB111123A,290.0000,81.0000
GRB071018,288.0000,160.0000
GRB081028,284.4200,135.0000
GRB090417B,282.4900,153.9900
GRB060526,275.2000,249.2600
GRB081029,275.0500,96.3800
GRB110205A,266.6800,103.4300
GRB090715B,265.3900,64.0800
GRB110102A,263.8000,81.4500
GRB060510B,262.9500,129.7800
GRB110820A,258.5500,244.8400
GRB120119A,253.8400,25.2700
GRB060210,242.1800,49.8600
GRB071025,241.3000,53.6600
GRB070419B,238.1400,70.0600
GRB080928,233.6600,44.8200
GRB110210A,233.6000,98.8200
GRB060322,229.5800,170.7900
GRB071021,228.7200,56.7900
GRB121031A,226.2000,195.8000
GRB100614A,225.0000,79.0000
GRB081203A,223.0000,43.0000
GRB081109,221.4900,34.9600
GRB110414A,220.0000,53.0000
GRB050507,217.6000,123.2000
GRB110119A,214.4100,110.9500
GRB070306,209.2400,18.5500
GRB090516,208.0000,80.0000
GRB100725B,199.7600,73.0200
GRB100915A,198.6600,53.1200
GRB100728A,198.5500,72.5100
GRB100704A,192.8100,147.3300
GRB100413A,191.1800,105.2900
GRB051001,190.6300,66.1200
GRB090712,186.6800,48.7200
GRB090401B,186.5100,7.7100
GRB090429A,184.0000,78.0000
GRB060507,183.3100,114.3500
GRB121211A,182.7100,76.7200
GRB050904,181.7000,84.8200
GRB120624B,179.7800,130.2700
GRB080802,179.5200,81.6000
GRB081008,179.5200,111.1100
GRB101020A,177.2800,72.9600
GRB041224,177.1700,37.6800
GRB080721,176.2900,7.0600
GRB061019,174.7400,165.0600
GRB100814A,174.7200,97.2000
GRB091026,174.0000,36.0000
GRB060202,172.1600,121.6000
GRB060904B,171.9000,145.9200
GRB070429A,168.0000,74.0000
GRB050117,166.6500,83.5100
GRB120811A,166.0000,23.1300
GRB090410,165.1400,99.2100
GRB100212A,164.9700,84.7100
GRB120714B,163.7400,52.1400
GRB080325,162.8200,67.3100
GRB111103B,162.1600,31.6200
GRB120922A,161.3800,94.9800
GRB060516,161.2300,88.6700
GRB070419A,160.0000,80.0000
GRB080503,159.7800,49.6600
GRB120514A,158.7800,60.1500
GRB070911,158.4600,66.2000
GRB050306,158.4300,73.7200
GRB081022,157.5800,53.5700
GRB050922B,156.2900,31.8200
GRB110407A,154.9300,71.2100
GRB080506,152.1400,102.5300
GRB050319,151.7400,124.5700
GRB071031,150.4900,114.2400
GRB071003,148.3800,18.6500
GRB080906,148.1900,40.6600
GRB121001A,147.8000,56.5400
GRB090807A,146.3600,69.6200
GRB081210,145.9100,14.8000
GRB050730,145.0500,59.8700
GRB071227,144.9800,79.1000
GRB060814,144.9500,61.6200
GRB050814,144.0000,48.0000
GRB070220,144.0000,32.0000
GRB100725A,140.9000,54.8600
GRB060204B,139.4600,24.5300
GRB051117A,136.8500,58.5400
GRB090912,135.5200,70.8700
GRB101213A,134.9100,34.1100
GRB061110B,132.7600,57.0000
GRB070318,131.5200,35.0800
GRB091130B,130.9100,31.8900
GRB121117A,130.8200,43.5200
GRB120401A,130.2800,61.1100
GRB061006,129.7900,55.7400
GRB090904A,129.5300,20.9400
GRB120913B,125.3800,53.8700
GRB080319B,124.8600,25.8000
GRB080307,122.2200,45.2300
GRB060115,122.2100,91.8500
GRB050713B,122.0300,31.8700
GRB120324A,119.5500,31.0400
GRB060211A,118.2000,80.0400
GRB111121A,117.7600,50.8500
GRB120521B,117.4400,48.8300
GRB080212,117.3800,46.6000
GRB060413,117.3300,35.7500
GRB090401A,117.0000,25.2200
GRB060714,116.0400,86.1800
GRB060109,115.6200,83.4900
GRB051227,115.4000,66.8100
GRB100423A,114.9900,47.3800
GRB100906A,114.3400,55.2500
GRB090618,113.3400,28.0600
GRB060729,113.0400,21.3700
GRB091024,112.2800,48.5200
GRB080710,112.0600,66.5300
GRB080130,112.0000,62.4000
GRB090123,110.8700,38.2400
GRB060614,109.2200,43.2400
GRB060418,109.1700,25.4900
GRB041223,109.0800,29.2000
GRB070529,108.9000,54.9900
GRB080810,107.6700,38.9500
GRB091104,107.1400,58.3500
GRB080805,106.6200,38.8500
GRB111225A,106.4400,43.6200
GRB061028,105.6200,42.0200
GRB071118,105.6000,43.4600
GRB060116,104.8300,31.0600
GRB101008A,104.2700,40.4800
GRB050822,104.1200,45.0800
GRB100526A,104.0700,73.5400
GRB080205,104.0600,84.6700
GRB060607A,102.9800,25.1800
GRB070411,102.0400,57.5200
GRB101030A,101.6700,66.2300
GRB080905B,101.6200,77.8600
GRB111228A,101.2200,47.1000
GRB070223,100.0000,56.9400
GRB090926B,99.2800,29.1300
GRB050724,99.1400,69.2200
GRB100504A,97.8800,14.0400
GRB100619A,97.5500,81.5800
GRB121011A,97.2300,43.5300
GRB081128,96.7700,30.1200
GRB060428B,96.0000,16.0000
GRB060604,96.0000,48.0000
GRB061222A,96.0000,16.0000
GRB070520B,96.0000,48.0000
GRB100213B,96.0000,16.0000
GRB110521A,96.0000,35.0000
GRB121027A,95.7200,38.9100
GRB050315,95.5700,24.3600
GRB050713A,94.9100,10.5000
GRB050721,94.3700,29.9500
GRB061202,94.1900,17.4400
GRB120729A,93.8000,24.7200
GRB051113,93.2800,38.4400
GRB080725,92.7400,14.8500
GRB080328,91.1100,66.1700
GRB120219A,90.4600,61.0600
GRB120612A,89.9400,38.6000
GRB121108A,89.5200,26.2200
GRB041226,89.5000,52.7200
GRB090709A,88.7300,31.1000
GRB050803,88.1200,37.9100
GRB110315A,87.7600,32.7100
GRB110818A,86.8800,38.2400
GRB121229A,86.5400,47.6400
GRB100727A,86.4400,11.1200
GRB100424A,86.2300,34.0000
GRB090518,85.8200,39.9400
GRB061210,85.4500,31.4700
GRB090201,84.7800,40.5600
GRB090404,82.0100,39.5400
GRB050418,81.7800,61.4800
GRB061121,81.2200,7.4800
GRB071011,80.8800,42.7700
GRB101023A,80.6800,14.9600
GRB110207A,80.2700,29.8800
GRB060904A,80.0600,25.8900
GRB050422,80.0000,48.0000
GRB050916,80.0000,32.0000
GRB070714B,80.0000,48.0000
GRB071122,80.0000,48.0000
GRB091208A,80.0000,32.0000
GRB121014A,80.0000,32.0000
GRB070110,79.7100,30.4700
GRB110915A,79.5700,56.9800
GRB110411A,79.4000,51.5400
GRB111022B,79.0900,49.3500
GRB080607,78.8600,22.5600
GRB080613B,78.2600,25.8100
GRB090814A,78.2200,41.3400
GRB090831C,77.9500,53.3100
GRB050717,77.8400,27.5500
GRB080727C,77.6100,23.3200
GRB070420,77.0200,19.3100
GRB061007,75.7400,23.0200
GRB090812,75.0900,24.2800
GRB101017A,74.8900,20.3700
GRB060602,74.6800,33.2600
GRB080602A,74.2900,58.9800
GRB080405,73.6000,35.2000
GRB100513A,72.4700,24.8600
GRB070328,72.1200,17.9700
GRB100924A,71.8600,20.4600
GRB051213,71.0600,53.2200
GRB120819A,71.0500,17.4800
GRB070520A,71.0000,43.0000
GRB101011A,70.9800,24.3800
GRB090313,70.6600,38.9800
GRB100305A,70.3400,43.3300
GRB090529A,70.0000,32.0000
GRB120326A,69.6200,5.1900
GRB060203,69.5200,31.7700
GRB080604,69.1600,33.3500
GRB060522,69.1200,34.1600
GRB050716,69.0200,35.4100
GRB121024A,69.0000,13.0000
GRB091221,68.4900,17.7200
GRB060923C,67.4100,41.0100
GRB080303,67.4000,27.9800
GRB080330,67.0500,55.3600
GRB060719,66.8600,43.5200
GRB060707,66.6500,34.6500
GRB050215A,66.4100,49.0000
GRB080903,66.3400,23.5500
GRB081230,66.0000,22.0000
GRB100526B,66.0000,29.0000
GRB120724A,65.5400,30.0800
GRB100917A,65.4600,25.5700
GRB080517,64.6100,25.7400
GRB050410,64.0000,32.0000
GRB051008,64.0000,36.8000
GRB051111,64.0000,16.0000
GRB070208,64.0000,48.0000
GRB080229A,64.0000,16.0000
GRB081104,64.0000,23.0000
GRB090715A,64.0000,48.0000
GRB090728,64.0000,16.0000
GRB090904B,64.0000,32.0000
GRB110719A,64.0000,16.0000
GRB100621A,63.6800,25.2600
GRB111008A,63.3900,29.9800
GRB120327A,62.8800,23.2400
GRB090916,62.4500,39.1800
GRB060427,62.0000,28.0000
GRB110223B,61.7600,22.0400
GRB120106A,61.6600,7.5800
GRB080916A,61.3500,23.3000
GRB060306,60.9400,42.8000
GRB110402A,60.9000,32.2900
GRB120308A,60.5700,22.8600
GRB120711B,60.1000,24.9000
GRB111212A,59.8400,27.8600
GRB080603B,59.1200,45.3400
GRB050505,58.8800,23.1900
GRB060111B,58.8300,18.4500
GRB070808,58.4300,20.6400
GRB120211A,58.2900,21.5500
GRB090519,58.2600,26.1000
GRB081126,57.6500,31.4400
GRB071001,57.4200,43.7200
GRB100508A,57.0200,22.5600
GRB090726,56.6800,20.3200
GRB080411,56.3300,25.0900
GRB090418A,56.3100,31.7900
GRB060219,56.1200,43.9600
GRB110709B,55.6700,21.8900
GRB121102A,55.1200,9.9000
GRB090531B,55.0000,35.9600
GRB120118B,54.7200,12.5200
GRB071006,54.4000,28.8000
GRB060105,54.3800,25.9500
GRB110530A,54.2400,26.4800
GRB060807,53.7400,17.3700
GRB050915A,53.4200,16.2400
GRB121125A,52.3700,24.5800
GRB041228,52.1600,19.5400
GRB050712,51.6100,26.8800
GRB060923A,51.5400,39.0000
GRB070920A,51.5400,32.1500
GRB120802A,50.2900,7.6500
GRB061126,50.2800,14.7900
GRB080129,50.2200,28.8800
GRB050827,49.9800,10.7500
GRB050726,49.7000,18.1400
GRB050715,49.6200,31.8600
GRB090424,49.4700,3.3700
GRB081118,49.2800,24.0200
GRB081102,48.1900,16.7500
GRB091109A,48.0300,15.1500
GRB050126,48.0000,16.0000
GRB050607,48.0000,16.0000
GRB070224,48.0000,16.0000
GRB080523,48.0000,16.0000
GRB100420A,48.0000,32.0000
GRB100522A,48.0000,16.0000
GRB110213A,48.0000,16.0000
GRB110808A,48.0000,32.0000
GRB110921A,48.0000,16.0000
GRB111204A,48.0000,32.0000
GRB120805A,48.0000,16.0000
GRB120703A,47.5100,3.9000
GRB060515,47.4000,22.1700
GRB050714B,46.8700,23.3000
GRB051021B,46.5300,19.2300
GRB080413A,46.3600,15.4800
GRB110610A,46.2900,29.9600
GRB070531,44.6200,21.8400
GRB060906,44.5800,17.1200
GRB061110A,44.5100,22.1400
GRB110709A,44.3200,27.4200
GRB061021,43.8000,10.7600
GRB080319A,43.6200,22.1800
GRB110106B,43.4600,14.8600
GRB120927A,43.3600,16.4800
GRB090520,43.2000,24.0000
GRB050915B,43.1600,21.3200
GRB090531A,42.8000,15.0000
GRB110625A,42.4800,12.9100
GRB060312,42.2600,15.7800
GRB101219B,41.9500,24.6200
GRB090301A,41.3700,19.9200
GRB100425A,41.2000,25.1300
GRB110731A,41.0600,4.9000
GRB120213A,41.0200,15.3400
GRB090530,40.4600,25.3400
GRB120302A,40.0000,
GRB050318,40.0000,20.8000
GRB051221B,39.9100,21.7000
GRB060428A,39.4800,22.1500
GRB080210,39.3600,11.8800
GRB091029,39.1800,13.4500
GRB070628,39.0400,6.1500
GRB091020,38.9200,9.6000
GRB120803B,38.8800,12.2800
GRB100615A,38.8100,23.4600
GRB120102A,38.7300,4.8700
GRB070521,38.6300,14.6200
GRB120116A,38.1000,11.3900
GRB121201A,38.0000,20.0000
GRB050819,37.7200,18.2800
GRB060424,37.4900,10.1400
GRB061222B,37.2500,19.3100
GRB051109A,37.2000,22.1300
GRB080804,37.1900,11.4000
GRB120404A,37.1600,17.4800
GRB110208A,36.7400,7.7900
GRB111018A,36.5400,24.4300
GRB061102,36.2900,21.3200
GRB071010B,36.1300,5.8400
GRB080916B,36.0000,16.0000
GRB100719A,36.0000,13.0000
GRB050826,35.7300,17.3300
GRB120114A,35.0000,
GRB110312A,34.9600,14.7400
GRB081221,33.9100,9.1400
GRB050401,33.3000,25.9200
GRB070621,33.2600,17.5800
GRB071028A,33.0000,16.0000
GRB081222,33.0000,6.0000
GRB070412,32.4500,7.9200
GRB120722A,31.3100,19.5800
GRB100904A,31.3000,11.5700
GRB060712,30.9100,13.7600
GRB110128A,30.6700,12.5800
GRB060403,30.5900,12.5700
GRB050701,30.4000,17.6000
GRB080707,30.1700,23.8600
GRB120913A,30.1400,5.3400
GRB080319C,29.5500,7.4600
GRB050326,29.4400,19.3900
GRB060607B,29.3600,12.4400
GRB090102,29.3000,12.5400
GRB100119A,28.9900,13.3600
GRB050219B,28.7400,6.9100
GRB060502A,28.5400,10.6700
GRB120311B,28.3600,12.2800
GRB120817A,28.1800,11.9000
GRB050128,28.0000,8.0000
GRB060211B,27.6900,7.7800
GRB120218A,27.6100,14.9600
GRB050802,27.4600,9.0900
GRB110519A,27.2200,10.1400
GRB120923A,27.2200,14.7300
GRB090709B,27.0200,9.1800
GRB080319D,26.9400,15.6900
GRB111229A,26.8700,17.3100
GRB120811C,26.8200,7.2500
GRB110928A,26.7600,9.4100
GRB120521C,26.7400,10.2700
GRB111107A,26.6200,9.7300
GRB120215A,26.5800,10.4800
GRB050412,26.4600,9.5000
GRB070805,26.4300,16.0900
GRB111005A,26.1800,11.0700
GRB120320A,26.1800,14.3800
GRB120121A,26.0900,12.4500
GRB071013,26.0800,9.8200
GRB080702B,26.0600,8.4800
GRB051006,26.0400,11.1300
GRB100205A,26.0000,13.6600
GRB080714,25.8100,9.3200
GRB110422A,25.7700,10.9200
GRB081012,25.2000,9.9700
GRB090111,25.1700,13.7300
GRB090308,25.1000,10.0100
GRB120918A,25.0800,8.6500
GRB100514A,24.9600,9.1500
GRB090628,24.9500,8.8000
GRB050824,24.8200,11.7000
GRB060323,24.8200,11.7800
GRB111022A,24.8000,7.6800
GRB120328A,24.1700,12.3600
GRB051012,24.0000,12.8000
GRB050219A,23.8400,10.0600
GRB080915A,23.8400,10.6100
GRB060501,23.6700,7.0600
GRB090118,23.4800,9.7900
GRB121128A,23.4400,7.4000
GRB080218A,22.8000,14.7200
GRB081025,22.7800,16.6100
GRB080409,22.6600,2.8800
GRB060927,22.4200,15.7600
GRB070920B,22.3100,9.4100
GRB100219A,22.1700,11.7100
GRB061002,22.1400,12.2700
GRB120728A,22.0500,9.5400
GRB050603,22.0000,4.0000
GRB090307,22.0000,12.0000
GRB050223,21.6800,10.5800
GRB110412A,21.4700,7.4500
GRB120911A,21.4400,5.7800
GRB060110,21.1400,7.7300
GRB051016A,21.0000,7.0000
GRB080515,20.9100,7.6200
GRB070508,20.9000,7.6200
GRB120807A,20.5900,7.6500
GRB090306B,20.5300,8.1080
GRB060510A,20.1500,6.0600
GRB121202A,20.0500,10.4700
GRB111208A,20.0000,
GRB120714A,20.0000,8.0000
GRB091112,19.5900,7.3000
GRB050801,19.4000,6.9100
GRB110319A,19.2600,10.3500
GRB060102,19.0000,14.0000
GRB060908,18.7800,7.4200
GRB101024A,18.7200,13.6700
GRB070103,18.4000,9.5700
GRB050908,18.2900,6.6700
GRB060804,18.2100,11.3700
GRB080605,18.0500,7.0600
GRB100302A,18.0100,11.8300
GRB070612B,18.0000,6.0000
GRB071008,17.9800,5.3800
GRB080723A,17.9100,11.9400
GRB080701A,17.8200,4.7400
GRB081121,17.6700,9.3100
GRB090129,17.6600,7.0500
GRB081127,17.3100,7.4700
GRB070219,17.2000,9.0600
GRB100823A,16.8800,7.5800
GRB060117,16.8600,9.9500
GRB110318A,16.8500,5.2600
GRB050502B,16.6200,9.6000
GRB100805A,16.6200,8.7600
GRB050911,16.2400,13.5600
GRB060813,15.8900,4.1800
GRB070802,15.8000,7.0800
GRB110520A,15.6800,7.2400
GRB080623,15.1800,6.3500
GRB091208B,14.8000,5.7800
GRB120712A,14.8000,6.8800
GRB110319B,14.5000,
GRB060108,14.2200,4.9000
GRB080430,14.1500,4.8900
GRB120312A,13.9000,5.6600
GRB080320,13.8200,5.0400
GRB110420A,13.8000,4.6900
GRB120701A,13.6600,7.9300
GRB051109B,13.3800,5.9300
GRB060111A,13.2100,5.8800
GRB070611,13.1800,5.5700
GRB110715A,13.0000,2.0000
GRB111109A,13.0000,6.0000
GRB100111A,12.8800,3.7800
GRB071010C,12.8000,6.4000
GRB060929,12.3800,5.7000
GRB090107A,12.0800,10.4800
GRB100728B,12.0800,3.5700
GRB050820B,12.0600,3.7600
GRB110305A,12.0000,6.0000
GRB110201A,11.6800,6.1700
GRB111103A,11.6200,7.0700
GRB050509A,11.3900,4.0500
GRB060512,11.3600,4.6600
GRB060223A,11.3200,5.0800
GRB060421,11.2600,6.3400
GRB081105,11.2000,4.8000
GRB070427,11.0800,5.7000
GRB050421,11.0400,9.7100
GRB050215B,10.6200,4.7400
GRB060223B,10.3600,5.6400
GRB050528,10.0800,4.3100
GRB110503A,10.0500,2.9300
GRB101204A,10.0000,
GRB041219C,10.0000,4.0000
GRB060708,9.9600,3.2800
GRB081011,9.8200,5.2900
GRB090423,9.7700,4.8400
GRB120815A,9.7100,4.2900
GRB090915,9.6000,6.4000
GRB100316C,9.2600,4.0000
GRB090113,9.1000,5.8700
GRB070810A,9.0400,3.6200
GRB051117B,9.0100,3.0600
GRB060919,9.0100,3.2100
GRB081007,9.0100,2.9300
GRB060923B,8.9500,4.3000
GRB060319,8.9100,4.7500
GRB120803A,8.8900,4.2200
GRB050525A,8.8400,5.2200
GRB090205,8.8000,3.5600
GRB090708,8.7000,4.0600
GRB080727B,8.6600,6.3200
GRB110827A,8.5400,4.0100
GRB090422,8.4700,7.4800
GRB120224A,8.1300,3.5800
GRB080413B,8.0000,2.0000
GRB090827,8.0000,4.8000
GRB111129A,7.8700,5.6400
GRB090809A,7.8400,3.0100
GRB070509,7.8300,3.5400
GRB070517,7.8000,4.0000
GRB060926,7.7900,3.6900
GRB100418A,7.6700,4.0900
GRB060825,7.6300,3.7900
GRB120816A,7.6300,2.0500
GRB060206,7.5500,2.3200
GRB070917,7.5500,2.4700
GRB080913,7.4600,3.2600
GRB091127,7.4200,4.7600
GRB120403B,7.2800,2.7200
GRB090813,7.1400,5.9600
GRB100807A,7.0000,2.0000
GRB110223A,7.0000,4.0000
GRB120422A,7.0000,3.0000
GRB120907A,6.9900,3.1800
GRB111029A,6.7800,3.7000
GRB100316A,6.7400,3.4600
GRB091102,6.6500,3.3800
GRB070330,6.6400,2.7300
GRB050416A,6.6200,1.6700
GRB080524,6.4000,3.2000
GRB071010A,6.3200,2.7100
GRB061004,6.2600,1.9200
GRB071117,6.0700,1.7200
GRB121212A,6.0600,3.7100
GRB100324A,6.0000,
GRB080516,5.7500,4.9800
GRB090510,5.6600,2.1000
GRB041217,5.6500,2.7100
GRB090429B,5.6100,2.4600
GRB041220,5.5800,2.2000
GRB120212A,5.5200,2.7500
GRB101117B,5.3100,1.8600
GRB110726A,5.1600,1.6800
GRB080218B,5.0600,2.9400
GRB060912A,5.0300,1.7500
GRB120311A,5.0000,1.0000
GRB121017A,5.0000,2.0000
GRB060805A,4.9300,2.3700
GRB080727A,4.9100,2.6700
GRB071101,4.8200,1.7600
GRB050406,4.7900,1.6400
GRB050922C,4.5400,1.4200
GRB051114,4.5000,1.6000
GRB091018,4.3700,1.5600
GRB070506,4.3500,1.9600
GRB070518,4.3500,2.7400
GRB071020,4.3000,1.9600
GRB110318B,4.2800,2.1500
GRB080915B,4.0500,1.0800
GRB051016B,4.0200,2.4300
GRB110106A,3.9700,1.2800
GRB050124,3.9300,1.8800
GRB100316B,3.9200,2.2800
GRB110212A,3.6800,1.8800
GRB111026A,3.6200,1.0600
GRB080703,3.5200,1.6600
GRB081211A,3.4200,1.5800
GRB050416B,3.4000,1.5600
GRB100905A,3.4000,1.5900
GRB070721A,3.3500,1.0800
GRB080520,3.3200,1.7400
GRB100928A,3.2600,1.7400
GRB071028B,3.2000,
GRB090720A,3.0000,
GRB100115A,3.0000,
GRB111207A,3.0000,
GRB070227,3.0000,2.0000
GRB070714A,3.0000,1.0000
GRB081228,3.0000,2.0000
GRB090309,3.0000,1.0000
GRB070731,2.8600,1.8100
GRB121028A,2.8000,1.5800
GRB070913,2.6800,1.2300
GRB081016B,2.6200,1.1700
GRB100816A,2.5600,1.0100
GRB111210A,2.5200,2.1200
GRB060717,2.4600,0.9400
GRB050815,2.3800,1.4900
GRB090607,2.2900,1.8500
GRB100213A,2.2200,1.1800
GRB090927,2.1600,1.1200
GRB081024A,1.8200,0.4500
GRB080426,1.7300,0.6100
GRB100322B,1.5000,
GRB100724A,1.4200,0.6700
GRB051221A,1.4000,0.5500
GRB051210,1.3000,0.5600
GRB070809,1.2800,0.5100
GRB120403A,1.2500,0.7400
GRB090426,1.2400,0.4400
GRB080905A,1.0200,0.7700
GRB070729,0.9900,0.5600
GRB121226A,0.9000,0.5100
GRB101219A,0.8300,0.4100
GRB120804A,0.8100,0.3500
GRB111126A,0.8000,
GRB061201,0.7800,0.4300
GRB060313,0.7400,0.4800
GRB080919,0.6000,0.3300
GRB090815C,0.5800,0.2600
GRB120630A,0.5800,0.1300
GRB080702A,0.5100,0.1900
GRB110112A,0.5100,0.2100
GRB060801,0.5000,0.3200
GRB070429B,0.4900,0.3600
GRB111117A,0.4600,0.3400
GRB050813,0.4500,0.2600
GRB120521A,0.4500,0.2200
GRB081226A,0.4400,0.2000
GRB070724A,0.4300,0.2300
GRB111020A,0.4000,0.1900
GRB091117A,0.3840,0.1920
GRB101129A,0.3500,
GRB090305A,0.3500,0.2200
GRB071112B,0.3000,0.1300
GRB100117A,0.2900,0.1700
GRB091109B,0.2700,0.0900
GRB061217,0.2400,0.1000
GRB101224A,0.2400,0.1300
GRB120229A,0.2200,0.1600
GRB080121,0.1920,0.1280
GRB070923,0.1800,0.0300
GRB081101,0.1800,0.0900
GRB100702A,0.1600,0.0800
GRB050906,0.1530,0.0530
GRB060502B,0.1400,0.0500
GRB090621B,0.1400,0.0400
GRB100206A,0.1200,0.0600
GRB050202,0.1100,0.0500
GRB120305A,0.1000,0.0300
GRB050925,0.0900,0.0400
GRB110420B,0.0800,0.0400
GRB070209,0.0700,0.0400
GRB070810B,0.0700,0.0300
GRB090417A,0.0700,0.0300
GRB051105A,0.0600,0.0300
GRB080123,0.0400,0.0200
GRB090515,0.0400,0.0200
GRB100628A,0.0300,0.0200
GRB050509B,0.0200,0.0100